mr,ref
"day[2 2], month[1], year[2003]","The date is January the twenty second of the year 2003 .","-1 -1 -1 2 -1 1 1 5 -1 -1 3 -1"
"day[0 7], month[7], year[2001]","Today is July the seventh , 2001 .","-1 -1 2 -1 1 4 3 -1"
"day[0 1], month[12], year[2015]","It is December the first , 2015 .","-1 -1 2 -1 1 4 3 -1"
"day[0 5], month[2], year[2012]","The date is five February 2012 .","-1 -1 -1 0 2 3 -1"
"day[1 6], month[2], year[2006]","It is February sixteen , 2006 .","-1 -1 2 0 4 3 -1"
"day[1 4], month[2], year[2017]","It is February fourteen , 2017 .","-1 -1 2 0 4 3 -1"
"day[1 9], month[10], year[2004]","The date is October nineteen , 2004 .","-1 -1 -1 2 0 4 3 -1"
"day[0 3], month[3], year[2002]","It is March the third , 2002 .","-1 -1 2 -1 1 4 3 -1"
"day[1 1], month[2], year[2003]","Today is February eleven in the year 2003 .","-1 -1 2 0 6 -1 -1 3 -1"
"day[2 0], month[4], year[2002]","It is April the twentieth of the year 2002 .","-1 -1 2 -1 1 5 -1 -1 3 -1"
"day[0 3], month[10], year[2010]","It is three October 2010 .","-1 -1 0 2 3 -1"
"day[0 8], month[7], year[2019]","It is eight July 2019 .","-1 -1 0 2 3 -1"
"day[1 1], month[2], year[2011]","It is eleven February of the year 2011 .","-1 -1 0 2 5 -1 -1 3 -1"
"day[0 1], month[7], year[2010]","It is the first of July in the year 2010 .","-1 -1 -1 1 -1 2 6 -1 -1 3 -1"
"day[0 7], month[11], year[2014]","It is November seven in the year 2014 .","-1 -1 2 0 6 -1 -1 3 -1"
"day[3 0], month[7], year[2001]","It is July thirty , 2001 .","-1 -1 2 0 4 3 -1"
"day[0 4], month[2], year[2001]","The date is the fourth of February in the year 2001 .","-1 -1 -1 -1 1 -1 2 6 -1 -1 3 -1"
"day[1 0], month[9], year[2001]","It is September ten , 2001 .","-1 -1 2 0 4 3 -1"
"day[2 1], month[9], year[2013]","The date is September the twenty first , 2013 .","-1 -1 -1 2 -1 1 1 4 3 -1"
"day[2 8], month[7], year[2013]","It is July the twenty eighth , 2013 .","-1 -1 2 -1 1 1 4 3 -1"
"day[2 2], month[7], year[2009]","Today is twenty two July 2009 .","-1 -1 0 0 2 3 -1"
"day[3 1], month[3], year[2005]","It is the thirty first of March in the year 2005 .","-1 -1 -1 1 1 -1 2 6 -1 -1 3 -1"
"day[0 4], month[12], year[2002]","Today is December the fourth , 2002 .","-1 -1 2 -1 1 4 3 -1"
"day[1 1], month[4], year[2005]","It is eleven April of the year 2005 .","-1 -1 0 2 5 -1 -1 3 -1"
"day[1 2], month[11], year[2017]","It is the twelfth of November in the year 2017 .","-1 -1 -1 1 -1 2 6 -1 -1 3 -1"
"day[0 1], month[9], year[2000]","It is one September of the year 2000 .","-1 -1 0 2 5 -1 -1 3 -1"
"day[1 2], month[5], year[2018]","Today is the twelfth of May in the year 2018 .","-1 -1 -1 1 -1 2 6 -1 -1 3 -1"
"day[1 1], month[8], year[2017]","Today is the eleventh of August , 2017 .","-1 -1 -1 1 -1 2 4 3 -1"
"day[0 5], month[11], year[2009]","The date is five November 2009 .","-1 -1 -1 0 2 3 -1"
"day[1 8], month[9], year[2014]","Today is September the eighteenth of the year 2014 .","-1 -1 2 -1 1 5 -1 -1 3 -1"
"day[0 8], month[8], year[2010]","Today is the eighth of August in the year 2010 .","-1 -1 -1 1 -1 2 6 -1 -1 3 -1"
"day[0 7], month[8], year[2000]","Today is the seventh of August , 2000 .","-1 -1 -1 1 -1 2 4 3 -1"
"day[2 2], month[11], year[2003]","Today is twenty two November of the year 2003 .","-1 -1 0 0 2 5 -1 -1 3 -1"
"day[1 5], month[3], year[2016]","The date is March the fifteenth , 2016 .","-1 -1 -1 2 -1 1 4 3 -1"
"day[0 6], month[2], year[2001]","Today is February six in the year 2001 .","-1 -1 2 0 6 -1 -1 3 -1"
"day[1 3], month[9], year[2020]","The date is the thirteenth of September , 2020 .","-1 -1 -1 -1 1 -1 2 4 3 -1"
"day[2 7], month[12], year[2010]","It is December twenty seven , 2010 .","-1 -1 2 0 0 4 3 -1"
"day[0 7], month[5], year[2005]","The date is May seven in the year 2005 .","-1 -1 -1 2 0 6 -1 -1 3 -1"
"day[2 4], month[6], year[2013]","Today is June the twenty fourth of the year 2013 .","-1 -1 2 -1 1 1 5 -1 -1 3 -1"
"day[2 3], month[5], year[2008]","It is May twenty three in the year 2008 .","-1 -1 2 0 0 6 -1 -1 3 -1"
"day[2 2], month[6], year[2017]","Today is June twenty two in the year 2017 .","-1 -1 2 0 0 6 -1 -1 3 -1"
"day[1 6], month[5], year[2015]","It is May sixteen , 2015 .","-1 -1 2 0 4 3 -1"
"day[1 3], month[9], year[2020]","The date is the thirteenth of September in the year 2020 .","-1 -1 -1 -1 1 -1 2 6 -1 -1 3 -1"
"day[0 5], month[8], year[2001]","It is the fifth of August in the year 2001 .","-1 -1 -1 1 -1 2 6 -1 -1 3 -1"
"day[1 2], month[6], year[2015]","It is the twelfth of June , 2015 .","-1 -1 -1 1 -1 2 4 3 -1"
"day[1 7], month[8], year[2003]","The date is seventeen August 2003 .","-1 -1 -1 0 2 3 -1"
"day[2 5], month[2], year[2018]","It is twenty five February of the year 2018 .","-1 -1 0 0 2 5 -1 -1 3 -1"
"day[1 3], month[4], year[2016]","It is April thirteen in the year 2016 .","-1 -1 2 0 6 -1 -1 3 -1"
"day[0 8], month[7], year[2004]","The date is July eight in the year 2004 .","-1 -1 -1 2 0 6 -1 -1 3 -1"
"day[3 1], month[4], year[2016]","Today is April thirty one in the year 2016 .","-1 -1 2 0 0 6 -1 -1 3 -1"
"day[1 0], month[5], year[2011]","It is May the tenth , 2011 .","-1 -1 2 -1 1 4 3 -1"
"day[1 9], month[6], year[2015]","It is June nineteen in the year 2015 .","-1 -1 2 0 6 -1 -1 3 -1"
"day[1 4], month[12], year[2005]","It is the fourteenth of December in the year 2005 .","-1 -1 -1 1 -1 2 6 -1 -1 3 -1"
"day[1 0], month[2], year[2006]","It is February ten in the year 2006 .","-1 -1 2 0 6 -1 -1 3 -1"
"day[1 4], month[6], year[2003]","The date is fourteen June of the year 2003 .","-1 -1 -1 0 2 5 -1 -1 3 -1"
"day[0 3], month[1], year[2005]","Today is three January of the year 2005 .","-1 -1 0 2 5 -1 -1 3 -1"
"day[2 3], month[3], year[2006]","Today is March twenty three in the year 2006 .","-1 -1 2 0 0 6 -1 -1 3 -1"
"day[0 7], month[1], year[2004]","The date is January seven , 2004 .","-1 -1 -1 2 0 4 3 -1"
"day[0 7], month[6], year[2018]","Today is June the seventh of the year 2018 .","-1 -1 2 -1 1 5 -1 -1 3 -1"
"day[0 5], month[10], year[2007]","The date is five October 2007 .","-1 -1 -1 0 2 3 -1"
"day[0 6], month[12], year[2005]","It is December six , 2005 .","-1 -1 2 0 4 3 -1"
"day[1 6], month[6], year[2004]","It is June sixteen in the year 2004 .","-1 -1 2 0 6 -1 -1 3 -1"
"day[2 1], month[5], year[2012]","Today is the twenty first of May in the year 2012 .","-1 -1 -1 1 1 -1 2 6 -1 -1 3 -1"
"day[2 5], month[12], year[2011]","Today is December twenty five , 2011 .","-1 -1 2 0 0 4 3 -1"
"day[2 6], month[1], year[2007]","Today is twenty six January 2007 .","-1 -1 0 0 2 3 -1"
"day[3 1], month[1], year[2009]","It is January the thirty first of the year 2009 .","-1 -1 2 -1 1 1 5 -1 -1 3 -1"
"day[0 3], month[10], year[2000]","Today is three October 2000 .","-1 -1 0 2 3 -1"
"day[0 6], month[1], year[2005]","The date is January six , 2005 .","-1 -1 -1 2 0 4 3 -1"
"day[1 6], month[2], year[2008]","The date is the sixteenth of February in the year 2008 .","-1 -1 -1 -1 1 -1 2 6 -1 -1 3 -1"
"day[2 6], month[7], year[2013]","It is twenty six July 2013 .","-1 -1 0 0 2 3 -1"
"day[0 8], month[10], year[2000]","The date is October the eighth , 2000 .","-1 -1 -1 2 -1 1 4 3 -1"
"day[0 1], month[6], year[2011]","It is June one , 2011 .","-1 -1 2 0 4 3 -1"
"day[0 5], month[4], year[2000]","The date is the fifth of April , 2000 .","-1 -1 -1 -1 1 -1 2 4 3 -1"
"day[2 5], month[6], year[2009]","The date is June the twenty fifth , 2009 .","-1 -1 -1 2 -1 1 1 4 3 -1"
"day[0 4], month[8], year[2017]","Today is August the fourth , 2017 .","-1 -1 2 -1 1 4 3 -1"
"day[1 4], month[2], year[2017]","The date is the fourteenth of February in the year 2017 .","-1 -1 -1 -1 1 -1 2 6 -1 -1 3 -1"
"day[2 1], month[12], year[2014]","It is December the twenty first of the year 2014 .","-1 -1 2 -1 1 1 5 -1 -1 3 -1"
"day[2 9], month[3], year[2006]","It is twenty nine March 2006 .","-1 -1 0 0 2 3 -1"
"day[0 5], month[2], year[2000]","Today is February five in the year 2000 .","-1 -1 2 0 6 -1 -1 3 -1"
"day[0 4], month[2], year[2003]","Today is February four in the year 2003 .","-1 -1 2 0 6 -1 -1 3 -1"
"day[1 5], month[2], year[2010]","The date is fifteen February of the year 2010 .","-1 -1 -1 0 2 5 -1 -1 3 -1"
"day[1 5], month[11], year[2007]","The date is November the fifteenth , 2007 .","-1 -1 -1 2 -1 1 4 3 -1"
"day[1 7], month[6], year[2005]","Today is June the seventeenth , 2005 .","-1 -1 2 -1 1 4 3 -1"
"day[1 2], month[11], year[2017]","It is November twelve , 2017 .","-1 -1 2 0 4 3 -1"
"day[2 9], month[2], year[2016]","It is the twenty ninth of February in the year 2016 .","-1 -1 -1 1 1 -1 2 6 -1 -1 3 -1"
"day[2 0], month[9], year[2014]","The date is the twentieth of September in the year 2014 .","-1 -1 -1 -1 1 -1 2 6 -1 -1 3 -1"
"day[3 1], month[12], year[2017]","It is the thirty first of December in the year 2017 .","-1 -1 -1 1 1 -1 2 6 -1 -1 3 -1"
"day[2 2], month[4], year[2004]","It is April twenty two in the year 2004 .","-1 -1 2 0 0 6 -1 -1 3 -1"
"day[1 8], month[5], year[2013]","The date is the eighteenth of May in the year 2013 .","-1 -1 -1 -1 1 -1 2 6 -1 -1 3 -1"
"day[3 0], month[3], year[2004]","Today is the thirtieth of March , 2004 .","-1 -1 -1 1 -1 2 4 3 -1"
"day[2 2], month[8], year[2018]","Today is August the twenty second , 2018 .","-1 -1 2 -1 1 1 4 3 -1"
"day[2 0], month[5], year[2003]","Today is May the twentieth , 2003 .","-1 -1 2 -1 1 4 3 -1"
"day[0 5], month[3], year[2009]","Today is March the fifth , 2009 .","-1 -1 2 -1 1 4 3 -1"
"day[0 9], month[5], year[2002]","The date is May nine , 2002 .","-1 -1 -1 2 0 4 3 -1"
"day[2 1], month[10], year[2016]","The date is October the twenty first , 2016 .","-1 -1 -1 2 -1 1 1 4 3 -1"
"day[3 1], month[8], year[2006]","It is August the thirty first of the year 2006 .","-1 -1 2 -1 1 1 5 -1 -1 3 -1"
"day[2 3], month[11], year[2017]","Today is twenty three November 2017 .","-1 -1 0 0 2 3 -1"
"day[1 3], month[11], year[2013]","The date is November thirteen in the year 2013 .","-1 -1 -1 2 0 6 -1 -1 3 -1"
"day[0 5], month[5], year[2018]","It is five May 2018 .","-1 -1 0 2 3 -1"
"day[0 1], month[1], year[2000]","The date is January the first of the year 2000 .","-1 -1 -1 2 -1 1 5 -1 -1 3 -1"
"day[2 3], month[8], year[2018]","Today is August twenty three in the year 2018 .","-1 -1 2 0 0 6 -1 -1 3 -1"
"day[2 5], month[2], year[2000]","It is February twenty five in the year 2000 .","-1 -1 2 0 0 6 -1 -1 3 -1"
"day[2 0], month[8], year[2013]","Today is the twentieth of August in the year 2013 .","-1 -1 -1 1 -1 2 6 -1 -1 3 -1"
"day[2 7], month[2], year[2006]","Today is February twenty seven in the year 2006 .","-1 -1 2 0 0 6 -1 -1 3 -1"
"day[2 2], month[6], year[2015]","It is twenty two June 2015 .","-1 -1 0 0 2 3 -1"
"day[1 6], month[8], year[2016]","It is August the sixteenth , 2016 .","-1 -1 2 -1 1 4 3 -1"
"day[2 2], month[3], year[2007]","Today is March the twenty second of the year 2007 .","-1 -1 2 -1 1 1 5 -1 -1 3 -1"
"day[1 1], month[12], year[2016]","Today is December eleven , 2016 .","-1 -1 2 0 4 3 -1"
"day[1 2], month[12], year[2001]","Today is December twelve , 2001 .","-1 -1 2 0 4 3 -1"
"day[1 8], month[5], year[2001]","Today is the eighteenth of May , 2001 .","-1 -1 -1 1 -1 2 4 3 -1"
"day[0 2], month[1], year[2015]","The date is two January of the year 2015 .","-1 -1 -1 0 2 5 -1 -1 3 -1"
"day[0 5], month[6], year[2004]","It is the fifth of June , 2004 .","-1 -1 -1 1 -1 2 4 3 -1"
"day[2 1], month[4], year[2017]","Today is twenty one April of the year 2017 .","-1 -1 0 0 2 5 -1 -1 3 -1"
"day[3 1], month[3], year[2003]","It is the thirty first of March , 2003 .","-1 -1 -1 1 1 -1 2 4 3 -1"
"day[1 3], month[12], year[2014]","The date is December thirteen , 2014 .","-1 -1 -1 2 0 4 3 -1"
"day[1 8], month[3], year[2012]","It is the eighteenth of March , 2012 .","-1 -1 -1 1 -1 2 4 3 -1"
"day[0 4], month[12], year[2007]","It is December four , 2007 .","-1 -1 2 0 4 3 -1"
"day[1 3], month[7], year[2012]","It is July the thirteenth of the year 2012 .","-1 -1 2 -1 1 5 -1 -1 3 -1"
"day[0 3], month[4], year[2018]","It is three April of the year 2018 .","-1 -1 0 2 5 -1 -1 3 -1"
"day[2 0], month[2], year[2019]","It is twenty February 2019 .","-1 -1 0 2 3 -1"
"day[2 8], month[5], year[2015]","It is the twenty eighth of May , 2015 .","-1 -1 -1 1 1 -1 2 4 3 -1"
"day[2 2], month[7], year[2006]","Today is July twenty two , 2006 .","-1 -1 2 0 0 4 3 -1"
"day[0 8], month[10], year[2011]","The date is October the eighth , 2011 .","-1 -1 -1 2 -1 1 4 3 -1"
"day[0 7], month[4], year[2005]","Today is April the seventh , 2005 .","-1 -1 2 -1 1 4 3 -1"
"day[1 1], month[5], year[2017]","The date is eleven May 2017 .","-1 -1 -1 0 2 3 -1"
"day[1 3], month[5], year[2007]","The date is May the thirteenth , 2007 .","-1 -1 -1 2 -1 1 4 3 -1"
"day[2 7], month[6], year[2013]","It is the twenty seventh of June , 2013 .","-1 -1 -1 1 1 -1 2 4 3 -1"
"day[3 0], month[3], year[2020]","The date is March thirty in the year 2020 .","-1 -1 -1 2 0 6 -1 -1 3 -1"
"day[0 8], month[11], year[2012]","It is November eight , 2012 .","-1 -1 2 0 4 3 -1"
"day[2 2], month[7], year[2014]","It is twenty two July 2014 .","-1 -1 0 0 2 3 -1"
"day[0 6], month[3], year[2007]","It is March the sixth , 2007 .","-1 -1 2 -1 1 4 3 -1"
"day[1 2], month[10], year[2001]","Today is October twelve , 2001 .","-1 -1 2 0 4 3 -1"
"day[0 4], month[1], year[2017]","It is the fourth of January in the year 2017 .","-1 -1 -1 1 -1 2 6 -1 -1 3 -1"
"day[1 1], month[5], year[2016]","It is eleven May 2016 .","-1 -1 0 2 3 -1"
"day[2 4], month[1], year[2017]","The date is January the twenty fourth of the year 2017 .","-1 -1 -1 2 -1 1 1 5 -1 -1 3 -1"
"day[0 6], month[5], year[2011]","It is May six in the year 2011 .","-1 -1 2 0 6 -1 -1 3 -1"
"day[2 1], month[10], year[2020]","It is October the twenty first , 2020 .","-1 -1 2 -1 1 1 4 3 -1"
"day[0 9], month[2], year[2016]","The date is February the ninth , 2016 .","-1 -1 -1 2 -1 1 4 3 -1"
"day[2 5], month[2], year[2001]","The date is twenty five February of the year 2001 .","-1 -1 -1 0 0 2 5 -1 -1 3 -1"
"day[0 2], month[11], year[2020]","It is November the second of the year 2020 .","-1 -1 2 -1 1 5 -1 -1 3 -1"
"day[2 6], month[2], year[2009]","The date is twenty six February 2009 .","-1 -1 -1 0 0 2 3 -1"
"day[1 8], month[10], year[2019]","It is eighteen October 2019 .","-1 -1 0 2 3 -1"
"day[2 9], month[1], year[2019]","The date is January twenty nine in the year 2019 .","-1 -1 -1 2 0 0 6 -1 -1 3 -1"
"day[2 3], month[10], year[2016]","The date is October twenty three , 2016 .","-1 -1 -1 2 0 0 4 3 -1"
"day[3 0], month[7], year[2020]","Today is July thirty , 2020 .","-1 -1 2 0 4 3 -1"
"day[0 2], month[6], year[2006]","The date is June two , 2006 .","-1 -1 -1 2 0 4 3 -1"
"day[0 9], month[12], year[2005]","It is nine December 2005 .","-1 -1 0 2 3 -1"
"day[0 8], month[7], year[2020]","Today is eight July of the year 2020 .","-1 -1 0 2 5 -1 -1 3 -1"
"day[1 3], month[10], year[2018]","It is October thirteen , 2018 .","-1 -1 2 0 4 3 -1"
"day[1 0], month[10], year[2001]","Today is the tenth of October , 2001 .","-1 -1 -1 1 -1 2 4 3 -1"
"day[1 5], month[5], year[2004]","Today is May the fifteenth , 2004 .","-1 -1 2 -1 1 4 3 -1"
"day[2 8], month[2], year[2001]","It is the twenty eighth of February in the year 2001 .","-1 -1 -1 1 1 -1 2 6 -1 -1 3 -1"
"day[2 5], month[1], year[2013]","Today is the twenty fifth of January in the year 2013 .","-1 -1 -1 1 1 -1 2 6 -1 -1 3 -1"
"day[0 8], month[1], year[2007]","The date is January the eighth of the year 2007 .","-1 -1 -1 2 -1 1 5 -1 -1 3 -1"
"day[2 6], month[4], year[2004]","The date is April the twenty sixth of the year 2004 .","-1 -1 -1 2 -1 1 1 5 -1 -1 3 -1"
"day[2 1], month[10], year[2015]","Today is the twenty first of October , 2015 .","-1 -1 -1 1 1 -1 2 4 3 -1"
"day[1 9], month[5], year[2004]","The date is nineteen May of the year 2004 .","-1 -1 -1 0 2 5 -1 -1 3 -1"
"day[2 3], month[7], year[2011]","Today is July the twenty third , 2011 .","-1 -1 2 -1 1 1 4 3 -1"
"day[2 1], month[7], year[2014]","The date is the twenty first of July , 2014 .","-1 -1 -1 -1 1 1 -1 2 4 3 -1"
"day[0 2], month[6], year[2005]","The date is June the second of the year 2005 .","-1 -1 -1 2 -1 1 5 -1 -1 3 -1"
"day[1 9], month[9], year[2001]","It is September nineteen in the year 2001 .","-1 -1 2 0 6 -1 -1 3 -1"
"day[2 6], month[8], year[2000]","The date is the twenty sixth of August in the year 2000 .","-1 -1 -1 -1 1 1 -1 2 6 -1 -1 3 -1"
"day[0 3], month[12], year[2015]","The date is three December 2015 .","-1 -1 -1 0 2 3 -1"
"day[1 4], month[3], year[2006]","Today is the fourteenth of March , 2006 .","-1 -1 -1 1 -1 2 4 3 -1"
"day[0 6], month[11], year[2005]","Today is six November of the year 2005 .","-1 -1 0 2 5 -1 -1 3 -1"
"day[1 8], month[9], year[2004]","It is the eighteenth of September in the year 2004 .","-1 -1 -1 1 -1 2 6 -1 -1 3 -1"
"day[2 8], month[11], year[2006]","Today is the twenty eighth of November in the year 2006 .","-1 -1 -1 1 1 -1 2 6 -1 -1 3 -1"
"day[3 0], month[1], year[2017]","Today is January thirty in the year 2017 .","-1 -1 2 0 6 -1 -1 3 -1"
"day[2 9], month[10], year[2015]","Today is the twenty ninth of October in the year 2015 .","-1 -1 -1 1 1 -1 2 6 -1 -1 3 -1"
"day[3 1], month[12], year[2017]","It is thirty one December of the year 2017 .","-1 -1 0 0 2 5 -1 -1 3 -1"
"day[0 3], month[4], year[2019]","The date is April the third of the year 2019 .","-1 -1 -1 2 -1 1 5 -1 -1 3 -1"
"day[0 4], month[3], year[2014]","Today is March four , 2014 .","-1 -1 2 0 4 3 -1"
"day[1 3], month[1], year[2009]","Today is the thirteenth of January , 2009 .","-1 -1 -1 1 -1 2 4 3 -1"
"day[0 9], month[8], year[2013]","It is nine August 2013 .","-1 -1 0 2 3 -1"
"day[1 5], month[5], year[2000]","The date is fifteen May of the year 2000 .","-1 -1 -1 0 2 5 -1 -1 3 -1"
"day[1 4], month[3], year[2004]","The date is fourteen March of the year 2004 .","-1 -1 -1 0 2 5 -1 -1 3 -1"
"day[0 1], month[8], year[2011]","Today is August one , 2011 .","-1 -1 2 0 4 3 -1"
"day[1 6], month[6], year[2013]","Today is sixteen June of the year 2013 .","-1 -1 0 2 5 -1 -1 3 -1"
"day[1 8], month[8], year[2005]","It is the eighteenth of August in the year 2005 .","-1 -1 -1 1 -1 2 6 -1 -1 3 -1"
"day[0 9], month[5], year[2016]","It is May nine , 2016 .","-1 -1 2 0 4 3 -1"
"day[2 2], month[5], year[2006]","Today is May twenty two , 2006 .","-1 -1 2 0 0 4 3 -1"
"day[0 7], month[11], year[2010]","It is the seventh of November , 2010 .","-1 -1 -1 1 -1 2 4 3 -1"
"day[0 9], month[10], year[2008]","It is the ninth of October , 2008 .","-1 -1 -1 1 -1 2 4 3 -1"
"day[0 4], month[12], year[2018]","Today is December the fourth of the year 2018 .","-1 -1 2 -1 1 5 -1 -1 3 -1"
"day[1 0], month[6], year[2010]","The date is the tenth of June in the year 2010 .","-1 -1 -1 -1 1 -1 2 6 -1 -1 3 -1"
"day[1 7], month[3], year[2007]","The date is seventeen March 2007 .","-1 -1 -1 0 2 3 -1"
"day[2 9], month[5], year[2013]","It is May twenty nine in the year 2013 .","-1 -1 2 0 0 6 -1 -1 3 -1"
"day[1 0], month[12], year[2013]","The date is ten December of the year 2013 .","-1 -1 -1 0 2 5 -1 -1 3 -1"
"day[2 4], month[10], year[2020]","The date is the twenty fourth of October in the year 2020 .","-1 -1 -1 -1 1 1 -1 2 6 -1 -1 3 -1"
"day[2 4], month[7], year[2007]","It is twenty four July of the year 2007 .","-1 -1 0 0 2 5 -1 -1 3 -1"
"day[2 9], month[10], year[2004]","Today is the twenty ninth of October , 2004 .","-1 -1 -1 1 1 -1 2 4 3 -1"
"day[0 3], month[7], year[2007]","The date is three July 2007 .","-1 -1 -1 0 2 3 -1"
"day[1 7], month[6], year[2020]","The date is the seventeenth of June in the year 2020 .","-1 -1 -1 -1 1 -1 2 6 -1 -1 3 -1"
"day[0 5], month[1], year[2016]","The date is January the fifth of the year 2016 .","-1 -1 -1 2 -1 1 5 -1 -1 3 -1"
"day[2 4], month[4], year[2018]","It is April twenty four , 2018 .","-1 -1 2 0 0 4 3 -1"
"day[0 7], month[6], year[2014]","It is seven June of the year 2014 .","-1 -1 0 2 5 -1 -1 3 -1"
"day[0 7], month[12], year[2017]","It is the seventh of December , 2017 .","-1 -1 -1 1 -1 2 4 3 -1"
"day[1 1], month[6], year[2003]","Today is June the eleventh , 2003 .","-1 -1 2 -1 1 4 3 -1"
"day[2 0], month[9], year[2013]","It is twenty September 2013 .","-1 -1 0 2 3 -1"
"day[0 4], month[6], year[2013]","Today is four June 2013 .","-1 -1 0 2 3 -1"
"day[1 6], month[6], year[2003]","The date is sixteen June of the year 2003 .","-1 -1 -1 0 2 5 -1 -1 3 -1"
"day[0 9], month[7], year[2011]","The date is nine July 2011 .","-1 -1 -1 0 2 3 -1"
"day[0 2], month[5], year[2011]","It is May two in the year 2011 .","-1 -1 2 0 6 -1 -1 3 -1"
"day[0 4], month[11], year[2007]","Today is four November 2007 .","-1 -1 0 2 3 -1"
"day[1 1], month[12], year[2012]","It is the eleventh of December , 2012 .","-1 -1 -1 1 -1 2 4 3 -1"
"day[0 9], month[1], year[2016]","The date is the ninth of January , 2016 .","-1 -1 -1 -1 1 -1 2 4 3 -1"
"day[1 4], month[2], year[2019]","Today is fourteen February of the year 2019 .","-1 -1 0 2 5 -1 -1 3 -1"
"day[1 7], month[8], year[2000]","Today is the seventeenth of August in the year 2000 .","-1 -1 -1 1 -1 2 6 -1 -1 3 -1"
"day[3 0], month[8], year[2003]","Today is August thirty in the year 2003 .","-1 -1 2 0 6 -1 -1 3 -1"
"day[2 9], month[8], year[2020]","Today is August the twenty ninth of the year 2020 .","-1 -1 2 -1 1 1 5 -1 -1 3 -1"
"day[3 1], month[8], year[2008]","The date is August the thirty first of the year 2008 .","-1 -1 -1 2 -1 1 1 5 -1 -1 3 -1"
"day[2 8], month[3], year[2013]","It is twenty eight March of the year 2013 .","-1 -1 0 0 2 5 -1 -1 3 -1"
"day[0 2], month[11], year[2000]","The date is November the second of the year 2000 .","-1 -1 -1 2 -1 1 5 -1 -1 3 -1"
"day[3 1], month[5], year[2019]","Today is May thirty one , 2019 .","-1 -1 2 0 0 4 3 -1"
"day[2 9], month[2], year[2015]","The date is the twenty ninth of February , 2015 .","-1 -1 -1 -1 1 1 -1 2 4 3 -1"
"day[0 2], month[3], year[2014]","The date is March two in the year 2014 .","-1 -1 -1 2 0 6 -1 -1 3 -1"
"day[1 9], month[10], year[2000]","The date is October the nineteenth , 2000 .","-1 -1 -1 2 -1 1 4 3 -1"
"day[3 1], month[4], year[2017]","It is the thirty first of April , 2017 .","-1 -1 -1 1 1 -1 2 4 3 -1"
"day[0 7], month[11], year[2013]","It is November the seventh of the year 2013 .","-1 -1 2 -1 1 5 -1 -1 3 -1"
"day[3 1], month[9], year[2017]","Today is September the thirty first , 2017 .","-1 -1 2 -1 1 1 4 3 -1"
"day[1 1], month[1], year[2017]","It is January the eleventh of the year 2017 .","-1 -1 2 -1 1 5 -1 -1 3 -1"
"day[2 8], month[8], year[2009]","The date is twenty eight August 2009 .","-1 -1 -1 0 0 2 3 -1"
"day[1 5], month[6], year[2014]","It is fifteen June of the year 2014 .","-1 -1 0 2 5 -1 -1 3 -1"
"day[0 2], month[6], year[2014]","The date is the second of June , 2014 .","-1 -1 -1 -1 1 -1 2 4 3 -1"
"day[2 2], month[12], year[2020]","It is the twenty second of December in the year 2020 .","-1 -1 -1 1 1 -1 2 6 -1 -1 3 -1"
"day[1 8], month[3], year[2007]","The date is eighteen March of the year 2007 .","-1 -1 -1 0 2 5 -1 -1 3 -1"
"day[1 1], month[6], year[2001]","The date is June the eleventh of the year 2001 .","-1 -1 -1 2 -1 1 5 -1 -1 3 -1"
"day[1 4], month[3], year[2011]","Today is March the fourteenth , 2011 .","-1 -1 2 -1 1 4 3 -1"
"day[1 7], month[5], year[2014]","Today is seventeen May 2014 .","-1 -1 0 2 3 -1"
"day[2 0], month[9], year[2017]","It is September the twentieth of the year 2017 .","-1 -1 2 -1 1 5 -1 -1 3 -1"
"day[1 5], month[9], year[2000]","Today is fifteen September of the year 2000 .","-1 -1 0 2 5 -1 -1 3 -1"
"day[1 5], month[6], year[2015]","Today is fifteen June 2015 .","-1 -1 0 2 3 -1"
"day[0 5], month[12], year[2006]","Today is the fifth of December in the year 2006 .","-1 -1 -1 1 -1 2 6 -1 -1 3 -1"
"day[2 9], month[8], year[2014]","Today is twenty nine August 2014 .","-1 -1 0 0 2 3 -1"
"day[1 2], month[11], year[2002]","The date is November the twelfth , 2002 .","-1 -1 -1 2 -1 1 4 3 -1"
"day[1 6], month[1], year[2004]","It is January the sixteenth of the year 2004 .","-1 -1 2 -1 1 5 -1 -1 3 -1"
"day[0 1], month[9], year[2015]","It is the first of September , 2015 .","-1 -1 -1 1 -1 2 4 3 -1"
"day[0 7], month[12], year[2010]","The date is the seventh of December , 2010 .","-1 -1 -1 -1 1 -1 2 4 3 -1"
"day[1 2], month[5], year[2013]","It is twelve May 2013 .","-1 -1 0 2 3 -1"
"day[1 5], month[4], year[2006]","The date is April fifteen in the year 2006 .","-1 -1 -1 2 0 6 -1 -1 3 -1"
"day[1 3], month[4], year[2013]","Today is the thirteenth of April in the year 2013 .","-1 -1 -1 1 -1 2 6 -1 -1 3 -1"
"day[2 8], month[10], year[2017]","Today is twenty eight October 2017 .","-1 -1 0 0 2 3 -1"
"day[0 1], month[1], year[2014]","The date is January one in the year 2014 .","-1 -1 -1 2 0 6 -1 -1 3 -1"
"day[0 5], month[7], year[2001]","Today is the fifth of July in the year 2001 .","-1 -1 -1 1 -1 2 6 -1 -1 3 -1"
"day[2 6], month[5], year[2006]","The date is the twenty sixth of May , 2006 .","-1 -1 -1 -1 1 1 -1 2 4 3 -1"
