mr,ref
"day[0 9], month[12], year[2017]","The date is the ninth of December , 2017 .","-1 -1 -1 -1 1 -1 2 4 3 -1"
"day[2 7], month[4], year[2010]","The date is April twenty seven , 2010 .","-1 -1 -1 2 0 0 4 3 -1"
"day[0 7], month[2], year[2015]","Today is the seventh of February , 2015 .","-1 -1 -1 1 -1 2 4 3 -1"
"day[0 9], month[8], year[2020]","Today is the ninth of August , 2020 .","-1 -1 -1 1 -1 2 4 3 -1"
"day[2 4], month[8], year[2017]","Today is August the twenty fourth , 2017 .","-1 -1 2 -1 1 1 4 3 -1"
"day[1 0], month[12], year[2009]","Today is ten December 2009 .","-1 -1 0 2 3 -1"
"day[1 6], month[4], year[2001]","Today is the sixteenth of April in the year 2001 .","-1 -1 -1 1 -1 2 6 -1 -1 3 -1"
"day[2 9], month[3], year[2002]","The date is twenty nine March of the year 2002 .","-1 -1 -1 0 0 2 5 -1 -1 3 -1"
"day[0 9], month[2], year[2014]","It is February nine in the year 2014 .","-1 -1 2 0 6 -1 -1 3 -1"
"day[1 2], month[12], year[2008]","It is December twelve in the year 2008 .","-1 -1 2 0 6 -1 -1 3 -1"
"day[2 8], month[2], year[2011]","It is twenty eight February 2011 .","-1 -1 0 0 2 3 -1"
"day[2 9], month[7], year[2005]","Today is the twenty ninth of July , 2005 .","-1 -1 -1 1 1 -1 2 4 3 -1"
"day[0 6], month[10], year[2008]","Today is six October 2008 .","-1 -1 0 2 3 -1"
"day[2 2], month[10], year[2016]","The date is October the twenty second , 2016 .","-1 -1 -1 2 -1 1 1 4 3 -1"
"day[1 3], month[11], year[2012]","It is November the thirteenth , 2012 .","-1 -1 2 -1 1 4 3 -1"
"day[0 7], month[5], year[2005]","The date is May seven in the year 2005 .","-1 -1 -1 2 0 6 -1 -1 3 -1"
"day[1 0], month[8], year[2013]","The date is August ten in the year 2013 .","-1 -1 -1 2 0 6 -1 -1 3 -1"
"day[0 7], month[3], year[2010]","Today is March seven , 2010 .","-1 -1 2 0 4 3 -1"
"day[0 7], month[1], year[2010]","It is January seven in the year 2010 .","-1 -1 2 0 6 -1 -1 3 -1"
"day[0 7], month[4], year[2012]","It is April seven , 2012 .","-1 -1 2 0 4 3 -1"
"day[3 1], month[2], year[2004]","It is thirty one February of the year 2004 .","-1 -1 0 0 2 5 -1 -1 3 -1"
"day[0 7], month[10], year[2016]","It is October the seventh of the year 2016 .","-1 -1 2 -1 1 5 -1 -1 3 -1"
"day[1 6], month[6], year[2010]","It is sixteen June of the year 2010 .","-1 -1 0 2 5 -1 -1 3 -1"
"day[0 7], month[3], year[2001]","It is seven March 2001 .","-1 -1 0 2 3 -1"
"day[1 4], month[8], year[2001]","Today is August the fourteenth , 2001 .","-1 -1 2 -1 1 4 3 -1"
"day[2 4], month[9], year[2020]","It is September twenty four , 2020 .","-1 -1 2 0 0 4 3 -1"
"day[1 0], month[10], year[2011]","It is October the tenth of the year 2011 .","-1 -1 2 -1 1 5 -1 -1 3 -1"
"day[2 6], month[7], year[2012]","The date is the twenty sixth of July , 2012 .","-1 -1 -1 -1 1 1 -1 2 4 3 -1"
"day[0 8], month[6], year[2007]","The date is June the eighth of the year 2007 .","-1 -1 -1 2 -1 1 5 -1 -1 3 -1"
"day[2 3], month[1], year[2007]","Today is January twenty three in the year 2007 .","-1 -1 2 0 0 6 -1 -1 3 -1"
"day[3 0], month[4], year[2017]","Today is April the thirtieth , 2017 .","-1 -1 2 -1 1 4 3 -1"
"day[2 1], month[9], year[2001]","The date is the twenty first of September in the year 2001 .","-1 -1 -1 -1 1 1 -1 2 6 -1 -1 3 -1"
"day[2 8], month[2], year[2019]","Today is February twenty eight , 2019 .","-1 -1 2 0 0 4 3 -1"
"day[0 2], month[9], year[2005]","The date is the second of September in the year 2005 .","-1 -1 -1 -1 1 -1 2 6 -1 -1 3 -1"
"day[1 0], month[6], year[2009]","The date is ten June of the year 2009 .","-1 -1 -1 0 2 5 -1 -1 3 -1"
"day[0 2], month[11], year[2003]","The date is the second of November in the year 2003 .","-1 -1 -1 -1 1 -1 2 6 -1 -1 3 -1"
"day[0 9], month[7], year[2015]","Today is July the ninth of the year 2015 .","-1 -1 2 -1 1 5 -1 -1 3 -1"
"day[1 8], month[7], year[2010]","Today is July eighteen in the year 2010 .","-1 -1 2 0 6 -1 -1 3 -1"
"day[2 6], month[12], year[2012]","The date is the twenty sixth of December , 2012 .","-1 -1 -1 -1 1 1 -1 2 4 3 -1"
"day[1 5], month[7], year[2000]","It is July the fifteenth , 2000 .","-1 -1 2 -1 1 4 3 -1"
"day[0 9], month[11], year[2002]","Today is November the ninth , 2002 .","-1 -1 2 -1 1 4 3 -1"
"day[0 8], month[2], year[2011]","It is February the eighth , 2011 .","-1 -1 2 -1 1 4 3 -1"
"day[2 8], month[4], year[2013]","The date is twenty eight April of the year 2013 .","-1 -1 -1 0 0 2 5 -1 -1 3 -1"
"day[0 7], month[3], year[2017]","The date is March the seventh of the year 2017 .","-1 -1 -1 2 -1 1 5 -1 -1 3 -1"
"day[2 4], month[12], year[2018]","Today is December twenty four , 2018 .","-1 -1 2 0 0 4 3 -1"
"day[1 3], month[8], year[2018]","The date is the thirteenth of August in the year 2018 .","-1 -1 -1 -1 1 -1 2 6 -1 -1 3 -1"
"day[2 2], month[4], year[2019]","The date is twenty two April of the year 2019 .","-1 -1 -1 0 0 2 5 -1 -1 3 -1"
"day[1 9], month[11], year[2004]","The date is the nineteenth of November in the year 2004 .","-1 -1 -1 -1 1 -1 2 6 -1 -1 3 -1"
"day[0 2], month[8], year[2004]","It is August two in the year 2004 .","-1 -1 2 0 6 -1 -1 3 -1"
"day[0 5], month[10], year[2008]","The date is the fifth of October in the year 2008 .","-1 -1 -1 -1 1 -1 2 6 -1 -1 3 -1"
"day[3 0], month[8], year[2020]","Today is August the thirtieth of the year 2020 .","-1 -1 2 -1 1 5 -1 -1 3 -1"
"day[1 1], month[5], year[2012]","The date is May eleven , 2012 .","-1 -1 -1 2 0 4 3 -1"
"day[2 6], month[1], year[2003]","It is twenty six January of the year 2003 .","-1 -1 0 0 2 5 -1 -1 3 -1"
"day[2 8], month[7], year[2008]","The date is July the twenty eighth , 2008 .","-1 -1 -1 2 -1 1 1 4 3 -1"
"day[1 4], month[7], year[2012]","The date is fourteen July 2012 .","-1 -1 -1 0 2 3 -1"
"day[0 9], month[12], year[2008]","The date is December the ninth of the year 2008 .","-1 -1 -1 2 -1 1 5 -1 -1 3 -1"
"day[2 4], month[3], year[2009]","The date is March the twenty fourth of the year 2009 .","-1 -1 -1 2 -1 1 1 5 -1 -1 3 -1"
"day[2 3], month[9], year[2014]","It is September twenty three in the year 2014 .","-1 -1 2 0 0 6 -1 -1 3 -1"
"day[2 9], month[11], year[2000]","The date is November the twenty ninth of the year 2000 .","-1 -1 -1 2 -1 1 1 5 -1 -1 3 -1"
"day[0 8], month[1], year[2002]","Today is the eighth of January in the year 2002 .","-1 -1 -1 1 -1 2 6 -1 -1 3 -1"
"day[0 6], month[7], year[2008]","It is July six in the year 2008 .","-1 -1 2 0 6 -1 -1 3 -1"
"day[1 6], month[2], year[2008]","The date is sixteen February of the year 2008 .","-1 -1 -1 0 2 5 -1 -1 3 -1"
"day[2 4], month[10], year[2010]","It is the twenty fourth of October , 2010 .","-1 -1 -1 1 1 -1 2 4 3 -1"
"day[3 1], month[4], year[2008]","Today is thirty one April of the year 2008 .","-1 -1 0 0 2 5 -1 -1 3 -1"
"day[2 5], month[4], year[2015]","It is the twenty fifth of April in the year 2015 .","-1 -1 -1 1 1 -1 2 6 -1 -1 3 -1"
"day[1 0], month[2], year[2005]","Today is February the tenth , 2005 .","-1 -1 2 -1 1 4 3 -1"
"day[1 7], month[9], year[2017]","The date is seventeen September of the year 2017 .","-1 -1 -1 0 2 5 -1 -1 3 -1"
"day[2 5], month[3], year[2003]","It is March twenty five , 2003 .","-1 -1 2 0 0 4 3 -1"
"day[1 4], month[1], year[2007]","Today is the fourteenth of January , 2007 .","-1 -1 -1 1 -1 2 4 3 -1"
"day[1 6], month[2], year[2003]","It is sixteen February of the year 2003 .","-1 -1 0 2 5 -1 -1 3 -1"
"day[1 6], month[12], year[2006]","Today is sixteen December 2006 .","-1 -1 0 2 3 -1"
"day[1 1], month[11], year[2004]","Today is November the eleventh of the year 2004 .","-1 -1 2 -1 1 5 -1 -1 3 -1"
"day[1 1], month[2], year[2011]","Today is the eleventh of February , 2011 .","-1 -1 -1 1 -1 2 4 3 -1"
"day[2 4], month[2], year[2002]","It is the twenty fourth of February , 2002 .","-1 -1 -1 1 1 -1 2 4 3 -1"
"day[2 9], month[10], year[2014]","The date is October the twenty ninth of the year 2014 .","-1 -1 -1 2 -1 1 1 5 -1 -1 3 -1"
"day[2 8], month[3], year[2017]","Today is March the twenty eighth of the year 2017 .","-1 -1 2 -1 1 1 5 -1 -1 3 -1"
"day[1 2], month[2], year[2018]","It is twelve February 2018 .","-1 -1 0 2 3 -1"
"day[2 7], month[4], year[2007]","The date is April the twenty seventh , 2007 .","-1 -1 -1 2 -1 1 1 4 3 -1"
"day[0 6], month[6], year[2005]","Today is June the sixth , 2005 .","-1 -1 2 -1 1 4 3 -1"
"day[0 9], month[5], year[2015]","The date is May the ninth , 2015 .","-1 -1 -1 2 -1 1 4 3 -1"
"day[1 5], month[9], year[2000]","The date is the fifteenth of September , 2000 .","-1 -1 -1 -1 1 -1 2 4 3 -1"
"day[1 7], month[1], year[2013]","It is seventeen January of the year 2013 .","-1 -1 0 2 5 -1 -1 3 -1"
"day[1 0], month[12], year[2000]","It is ten December of the year 2000 .","-1 -1 0 2 5 -1 -1 3 -1"
"day[2 8], month[8], year[2006]","Today is twenty eight August of the year 2006 .","-1 -1 0 0 2 5 -1 -1 3 -1"
"day[0 9], month[12], year[2019]","It is December nine in the year 2019 .","-1 -1 2 0 6 -1 -1 3 -1"
"day[1 8], month[4], year[2006]","Today is April eighteen in the year 2006 .","-1 -1 2 0 6 -1 -1 3 -1"
"day[2 0], month[8], year[2012]","The date is August twenty in the year 2012 .","-1 -1 -1 2 0 6 -1 -1 3 -1"
"day[0 1], month[5], year[2000]","The date is the first of May , 2000 .","-1 -1 -1 -1 1 -1 2 4 3 -1"
"day[0 9], month[9], year[2020]","The date is the ninth of September , 2020 .","-1 -1 -1 -1 1 -1 2 4 3 -1"
"day[0 3], month[9], year[2020]","Today is September the third of the year 2020 .","-1 -1 2 -1 1 5 -1 -1 3 -1"
"day[2 0], month[5], year[2014]","Today is May twenty , 2014 .","-1 -1 2 0 4 3 -1"
"day[1 3], month[1], year[2001]","It is the thirteenth of January , 2001 .","-1 -1 -1 1 -1 2 4 3 -1"
"day[1 5], month[6], year[2008]","The date is the fifteenth of June , 2008 .","-1 -1 -1 -1 1 -1 2 4 3 -1"
"day[0 7], month[1], year[2006]","The date is the seventh of January in the year 2006 .","-1 -1 -1 -1 1 -1 2 6 -1 -1 3 -1"
"day[2 3], month[8], year[2005]","It is the twenty third of August , 2005 .","-1 -1 -1 1 1 -1 2 4 3 -1"
"day[1 1], month[2], year[2010]","Today is February the eleventh of the year 2010 .","-1 -1 2 -1 1 5 -1 -1 3 -1"
"day[2 9], month[6], year[2002]","It is June the twenty ninth , 2002 .","-1 -1 2 -1 1 1 4 3 -1"
"day[1 3], month[12], year[2019]","It is the thirteenth of December in the year 2019 .","-1 -1 -1 1 -1 2 6 -1 -1 3 -1"
"day[0 3], month[9], year[2008]","Today is the third of September in the year 2008 .","-1 -1 -1 1 -1 2 6 -1 -1 3 -1"
"day[2 6], month[7], year[2002]","It is the twenty sixth of July in the year 2002 .","-1 -1 -1 1 1 -1 2 6 -1 -1 3 -1"
"day[0 9], month[2], year[2003]","It is February the ninth of the year 2003 .","-1 -1 2 -1 1 5 -1 -1 3 -1"
"day[0 4], month[1], year[2010]","It is the fourth of January in the year 2010 .","-1 -1 -1 1 -1 2 6 -1 -1 3 -1"
"day[1 3], month[11], year[2006]","The date is the thirteenth of November , 2006 .","-1 -1 -1 -1 1 -1 2 4 3 -1"
"day[2 6], month[12], year[2009]","The date is the twenty sixth of December , 2009 .","-1 -1 -1 -1 1 1 -1 2 4 3 -1"
"day[1 1], month[4], year[2012]","The date is the eleventh of April , 2012 .","-1 -1 -1 -1 1 -1 2 4 3 -1"
"day[1 0], month[9], year[2006]","The date is September ten in the year 2006 .","-1 -1 -1 2 0 6 -1 -1 3 -1"
"day[1 7], month[3], year[2013]","Today is March the seventeenth , 2013 .","-1 -1 2 -1 1 4 3 -1"
"day[0 1], month[2], year[2014]","The date is February one in the year 2014 .","-1 -1 -1 2 0 6 -1 -1 3 -1"
"day[1 0], month[10], year[2006]","Today is ten October of the year 2006 .","-1 -1 0 2 5 -1 -1 3 -1"
"day[0 7], month[3], year[2003]","The date is March the seventh of the year 2003 .","-1 -1 -1 2 -1 1 5 -1 -1 3 -1"
"day[0 8], month[5], year[2006]","Today is May eight , 2006 .","-1 -1 2 0 4 3 -1"
"day[2 9], month[2], year[2018]","The date is twenty nine February 2018 .","-1 -1 -1 0 0 2 3 -1"
"day[1 3], month[1], year[2010]","Today is the thirteenth of January , 2010 .","-1 -1 -1 1 -1 2 4 3 -1"
"day[0 4], month[5], year[2016]","The date is May four in the year 2016 .","-1 -1 -1 2 0 6 -1 -1 3 -1"
"day[1 1], month[8], year[2007]","The date is August the eleventh , 2007 .","-1 -1 -1 2 -1 1 4 3 -1"
"day[1 8], month[5], year[2011]","The date is May eighteen in the year 2011 .","-1 -1 -1 2 0 6 -1 -1 3 -1"
"day[1 0], month[12], year[2008]","The date is December ten , 2008 .","-1 -1 -1 2 0 4 3 -1"
"day[1 0], month[4], year[2005]","The date is ten April of the year 2005 .","-1 -1 -1 0 2 5 -1 -1 3 -1"
"day[3 1], month[5], year[2001]","Today is May thirty one in the year 2001 .","-1 -1 2 0 0 6 -1 -1 3 -1"
"day[1 1], month[10], year[2009]","The date is the eleventh of October in the year 2009 .","-1 -1 -1 -1 1 -1 2 6 -1 -1 3 -1"
"day[0 6], month[6], year[2017]","The date is June six in the year 2017 .","-1 -1 -1 2 0 6 -1 -1 3 -1"
"day[0 9], month[4], year[2019]","The date is the ninth of April in the year 2019 .","-1 -1 -1 -1 1 -1 2 6 -1 -1 3 -1"
"day[3 1], month[2], year[2009]","It is thirty one February 2009 .","-1 -1 0 0 2 3 -1"
"day[0 5], month[11], year[2001]","The date is November five , 2001 .","-1 -1 -1 2 0 4 3 -1"
"day[2 4], month[4], year[2010]","Today is twenty four April of the year 2010 .","-1 -1 0 0 2 5 -1 -1 3 -1"
"day[0 8], month[11], year[2000]","It is the eighth of November in the year 2000 .","-1 -1 -1 1 -1 2 6 -1 -1 3 -1"
"day[1 2], month[1], year[2009]","The date is January the twelfth , 2009 .","-1 -1 -1 2 -1 1 4 3 -1"
"day[0 3], month[1], year[2014]","It is January three in the year 2014 .","-1 -1 2 0 6 -1 -1 3 -1"
"day[1 6], month[11], year[2004]","The date is sixteen November 2004 .","-1 -1 -1 0 2 3 -1"
"day[1 3], month[3], year[2010]","Today is March thirteen , 2010 .","-1 -1 2 0 4 3 -1"
"day[2 5], month[12], year[2013]","Today is twenty five December 2013 .","-1 -1 0 0 2 3 -1"
"day[2 5], month[1], year[2005]","It is the twenty fifth of January , 2005 .","-1 -1 -1 1 1 -1 2 4 3 -1"
"day[2 3], month[10], year[2012]","The date is October the twenty third , 2012 .","-1 -1 -1 2 -1 1 1 4 3 -1"
"day[0 2], month[6], year[2019]","Today is June the second , 2019 .","-1 -1 2 -1 1 4 3 -1"
"day[1 1], month[12], year[2019]","Today is eleven December 2019 .","-1 -1 0 2 3 -1"
"day[1 3], month[6], year[2002]","The date is June the thirteenth , 2002 .","-1 -1 -1 2 -1 1 4 3 -1"
"day[1 8], month[4], year[2006]","It is April eighteen , 2006 .","-1 -1 2 0 4 3 -1"
"day[1 7], month[6], year[2020]","The date is June seventeen , 2020 .","-1 -1 -1 2 0 4 3 -1"
"day[2 1], month[4], year[2005]","Today is April the twenty first , 2005 .","-1 -1 2 -1 1 1 4 3 -1"
"day[2 9], month[1], year[2009]","It is the twenty ninth of January in the year 2009 .","-1 -1 -1 1 1 -1 2 6 -1 -1 3 -1"
"day[1 9], month[9], year[2003]","Today is nineteen September of the year 2003 .","-1 -1 0 2 5 -1 -1 3 -1"
"day[1 6], month[3], year[2009]","It is March the sixteenth of the year 2009 .","-1 -1 2 -1 1 5 -1 -1 3 -1"
"day[0 5], month[3], year[2000]","The date is March five in the year 2000 .","-1 -1 -1 2 0 6 -1 -1 3 -1"
"day[0 9], month[6], year[2006]","The date is the ninth of June in the year 2006 .","-1 -1 -1 -1 1 -1 2 6 -1 -1 3 -1"
"day[1 8], month[7], year[2003]","It is July the eighteenth , 2003 .","-1 -1 2 -1 1 4 3 -1"
"day[1 2], month[11], year[2013]","The date is November twelve , 2013 .","-1 -1 -1 2 0 4 3 -1"
"day[2 4], month[4], year[2014]","It is twenty four April of the year 2014 .","-1 -1 0 0 2 5 -1 -1 3 -1"
"day[3 1], month[7], year[2006]","It is the thirty first of July in the year 2006 .","-1 -1 -1 1 1 -1 2 6 -1 -1 3 -1"
"day[3 0], month[7], year[2020]","It is thirty July of the year 2020 .","-1 -1 0 2 5 -1 -1 3 -1"
"day[1 0], month[2], year[2001]","The date is February ten in the year 2001 .","-1 -1 -1 2 0 6 -1 -1 3 -1"
"day[1 8], month[4], year[2010]","It is the eighteenth of April , 2010 .","-1 -1 -1 1 -1 2 4 3 -1"
"day[1 7], month[3], year[2012]","It is the seventeenth of March , 2012 .","-1 -1 -1 1 -1 2 4 3 -1"
"day[1 9], month[8], year[2016]","It is nineteen August of the year 2016 .","-1 -1 0 2 5 -1 -1 3 -1"
"day[2 4], month[1], year[2018]","The date is January the twenty fourth , 2018 .","-1 -1 -1 2 -1 1 1 4 3 -1"
"day[2 0], month[2], year[2005]","Today is the twentieth of February in the year 2005 .","-1 -1 -1 1 -1 2 6 -1 -1 3 -1"
"day[2 3], month[6], year[2008]","It is the twenty third of June , 2008 .","-1 -1 -1 1 1 -1 2 4 3 -1"
"day[1 9], month[1], year[2008]","The date is the nineteenth of January , 2008 .","-1 -1 -1 -1 1 -1 2 4 3 -1"
"day[1 4], month[3], year[2019]","Today is fourteen March 2019 .","-1 -1 0 2 3 -1"
"day[2 9], month[4], year[2020]","The date is April twenty nine , 2020 .","-1 -1 -1 2 0 0 4 3 -1"
"day[1 8], month[1], year[2006]","Today is January eighteen , 2006 .","-1 -1 2 0 4 3 -1"
"day[1 1], month[8], year[2002]","The date is August eleven in the year 2002 .","-1 -1 -1 2 0 6 -1 -1 3 -1"
"day[0 3], month[10], year[2001]","The date is the third of October in the year 2001 .","-1 -1 -1 -1 1 -1 2 6 -1 -1 3 -1"
"day[2 9], month[1], year[2007]","The date is the twenty ninth of January , 2007 .","-1 -1 -1 -1 1 1 -1 2 4 3 -1"
"day[0 8], month[1], year[2013]","It is the eighth of January in the year 2013 .","-1 -1 -1 1 -1 2 6 -1 -1 3 -1"
"day[2 9], month[4], year[2017]","Today is twenty nine April 2017 .","-1 -1 0 0 2 3 -1"
"day[2 1], month[5], year[2010]","Today is May the twenty first , 2010 .","-1 -1 2 -1 1 1 4 3 -1"
"day[3 1], month[2], year[2002]","The date is thirty one February 2002 .","-1 -1 -1 0 0 2 3 -1"
"day[2 9], month[2], year[2010]","The date is twenty nine February 2010 .","-1 -1 -1 0 0 2 3 -1"
"day[1 2], month[3], year[2006]","It is March twelve , 2006 .","-1 -1 2 0 4 3 -1"
"day[1 0], month[12], year[2020]","It is ten December of the year 2020 .","-1 -1 0 2 5 -1 -1 3 -1"
"day[1 1], month[11], year[2005]","Today is eleven November 2005 .","-1 -1 0 2 3 -1"
"day[0 4], month[12], year[2006]","It is December four in the year 2006 .","-1 -1 2 0 6 -1 -1 3 -1"
"day[2 1], month[8], year[2016]","The date is the twenty first of August in the year 2016 .","-1 -1 -1 -1 1 1 -1 2 6 -1 -1 3 -1"
"day[0 3], month[9], year[2018]","Today is three September of the year 2018 .","-1 -1 0 2 5 -1 -1 3 -1"
"day[1 9], month[12], year[2020]","It is the nineteenth of December , 2020 .","-1 -1 -1 1 -1 2 4 3 -1"
"day[2 0], month[10], year[2020]","Today is October twenty in the year 2020 .","-1 -1 2 0 6 -1 -1 3 -1"
"day[2 6], month[3], year[2007]","It is March twenty six in the year 2007 .","-1 -1 2 0 0 6 -1 -1 3 -1"
"day[2 9], month[6], year[2009]","Today is June the twenty ninth , 2009 .","-1 -1 2 -1 1 1 4 3 -1"
"day[2 1], month[10], year[2011]","The date is twenty one October 2011 .","-1 -1 -1 0 0 2 3 -1"
"day[1 0], month[4], year[2011]","The date is April the tenth , 2011 .","-1 -1 -1 2 -1 1 4 3 -1"
"day[2 8], month[7], year[2005]","Today is twenty eight July of the year 2005 .","-1 -1 0 0 2 5 -1 -1 3 -1"
"day[0 5], month[4], year[2018]","It is April five in the year 2018 .","-1 -1 2 0 6 -1 -1 3 -1"
"day[0 8], month[3], year[2005]","It is eight March 2005 .","-1 -1 0 2 3 -1"
"day[0 7], month[2], year[2005]","It is seven February of the year 2005 .","-1 -1 0 2 5 -1 -1 3 -1"
"day[0 2], month[2], year[2012]","Today is the second of February in the year 2012 .","-1 -1 -1 1 -1 2 6 -1 -1 3 -1"
"day[1 1], month[4], year[2018]","Today is April the eleventh , 2018 .","-1 -1 2 -1 1 4 3 -1"
"day[0 6], month[3], year[2012]","Today is March the sixth , 2012 .","-1 -1 2 -1 1 4 3 -1"
"day[3 1], month[6], year[2015]","It is June the thirty first , 2015 .","-1 -1 2 -1 1 1 4 3 -1"
"day[2 1], month[2], year[2009]","It is February the twenty first , 2009 .","-1 -1 2 -1 1 1 4 3 -1"
"day[1 5], month[12], year[2008]","Today is December fifteen in the year 2008 .","-1 -1 2 0 6 -1 -1 3 -1"
"day[2 2], month[2], year[2015]","Today is February the twenty second , 2015 .","-1 -1 2 -1 1 1 4 3 -1"
"day[0 5], month[2], year[2015]","It is the fifth of February , 2015 .","-1 -1 -1 1 -1 2 4 3 -1"
"day[0 1], month[6], year[2013]","It is June one in the year 2013 .","-1 -1 2 0 6 -1 -1 3 -1"
"day[2 0], month[12], year[2001]","It is twenty December of the year 2001 .","-1 -1 0 2 5 -1 -1 3 -1"
"day[1 9], month[2], year[2001]","Today is nineteen February 2001 .","-1 -1 0 2 3 -1"
"day[2 5], month[12], year[2005]","It is December the twenty fifth of the year 2005 .","-1 -1 2 -1 1 1 5 -1 -1 3 -1"
"day[1 7], month[3], year[2020]","It is March the seventeenth , 2020 .","-1 -1 2 -1 1 4 3 -1"
"day[2 7], month[3], year[2002]","It is twenty seven March of the year 2002 .","-1 -1 0 0 2 5 -1 -1 3 -1"
"day[2 9], month[11], year[2008]","It is the twenty ninth of November in the year 2008 .","-1 -1 -1 1 1 -1 2 6 -1 -1 3 -1"
"day[2 7], month[1], year[2005]","Today is the twenty seventh of January , 2005 .","-1 -1 -1 1 1 -1 2 4 3 -1"
"day[2 8], month[9], year[2017]","Today is September twenty eight , 2017 .","-1 -1 2 0 0 4 3 -1"
"day[2 4], month[1], year[2006]","Today is the twenty fourth of January in the year 2006 .","-1 -1 -1 1 1 -1 2 6 -1 -1 3 -1"
"day[0 5], month[11], year[2014]","The date is November the fifth , 2014 .","-1 -1 -1 2 -1 1 4 3 -1"
"day[1 1], month[2], year[2010]","Today is February eleven in the year 2010 .","-1 -1 2 0 6 -1 -1 3 -1"
"day[3 1], month[3], year[2008]","It is the thirty first of March , 2008 .","-1 -1 -1 1 1 -1 2 4 3 -1"
"day[1 4], month[11], year[2018]","The date is November the fourteenth , 2018 .","-1 -1 -1 2 -1 1 4 3 -1"
"day[0 3], month[8], year[2012]","The date is August the third , 2012 .","-1 -1 -1 2 -1 1 4 3 -1"
"day[2 2], month[12], year[2011]","Today is December the twenty second of the year 2011 .","-1 -1 2 -1 1 1 5 -1 -1 3 -1"
"day[1 3], month[5], year[2007]","Today is thirteen May 2007 .","-1 -1 0 2 3 -1"
"day[2 5], month[8], year[2013]","It is the twenty fifth of August , 2013 .","-1 -1 -1 1 1 -1 2 4 3 -1"
"day[0 4], month[11], year[2005]","The date is November the fourth , 2005 .","-1 -1 -1 2 -1 1 4 3 -1"
"day[0 8], month[12], year[2009]","Today is December eight in the year 2009 .","-1 -1 2 0 6 -1 -1 3 -1"
"day[0 7], month[2], year[2016]","It is seven February 2016 .","-1 -1 0 2 3 -1"
"day[0 1], month[6], year[2008]","It is June the first , 2008 .","-1 -1 2 -1 1 4 3 -1"
"day[0 7], month[3], year[2007]","The date is the seventh of March in the year 2007 .","-1 -1 -1 -1 1 -1 2 6 -1 -1 3 -1"
"day[2 1], month[5], year[2016]","The date is May the twenty first , 2016 .","-1 -1 -1 2 -1 1 1 4 3 -1"
"day[2 7], month[12], year[2016]","The date is December the twenty seventh of the year 2016 .","-1 -1 -1 2 -1 1 1 5 -1 -1 3 -1"
"day[1 1], month[1], year[2017]","Today is January eleven , 2017 .","-1 -1 2 0 4 3 -1"
"day[0 1], month[6], year[2003]","Today is one June of the year 2003 .","-1 -1 0 2 5 -1 -1 3 -1"
"day[0 9], month[6], year[2005]","The date is June nine in the year 2005 .","-1 -1 -1 2 0 6 -1 -1 3 -1"
"day[0 1], month[6], year[2015]","It is the first of June , 2015 .","-1 -1 -1 1 -1 2 4 3 -1"
"day[1 7], month[3], year[2014]","It is seventeen March of the year 2014 .","-1 -1 0 2 5 -1 -1 3 -1"
"day[1 3], month[1], year[2000]","Today is thirteen January of the year 2000 .","-1 -1 0 2 5 -1 -1 3 -1"
"day[0 7], month[9], year[2001]","It is September seven in the year 2001 .","-1 -1 2 0 6 -1 -1 3 -1"
"day[1 8], month[8], year[2001]","It is August eighteen in the year 2001 .","-1 -1 2 0 6 -1 -1 3 -1"
"day[1 1], month[12], year[2006]","It is December eleven in the year 2006 .","-1 -1 2 0 6 -1 -1 3 -1"
"day[1 8], month[9], year[2017]","The date is eighteen September 2017 .","-1 -1 -1 0 2 3 -1"
"day[2 1], month[10], year[2008]","Today is twenty one October of the year 2008 .","-1 -1 0 0 2 5 -1 -1 3 -1"
"day[1 7], month[8], year[2019]","The date is August seventeen , 2019 .","-1 -1 -1 2 0 4 3 -1"
"day[1 4], month[2], year[2004]","The date is February fourteen in the year 2004 .","-1 -1 -1 2 0 6 -1 -1 3 -1"
"day[2 0], month[2], year[2000]","It is February twenty in the year 2000 .","-1 -1 2 0 6 -1 -1 3 -1"
"day[1 7], month[10], year[2006]","The date is seventeen October 2006 .","-1 -1 -1 0 2 3 -1"
"day[1 6], month[1], year[2000]","It is the sixteenth of January in the year 2000 .","-1 -1 -1 1 -1 2 6 -1 -1 3 -1"
"day[0 4], month[1], year[2020]","The date is January the fourth , 2020 .","-1 -1 -1 2 -1 1 4 3 -1"
"day[0 7], month[4], year[2004]","It is April seven in the year 2004 .","-1 -1 2 0 6 -1 -1 3 -1"
"day[2 6], month[9], year[2011]","It is twenty six September 2011 .","-1 -1 0 0 2 3 -1"
"day[1 5], month[10], year[2010]","Today is October fifteen in the year 2010 .","-1 -1 2 0 6 -1 -1 3 -1"
"day[2 8], month[6], year[2006]","The date is twenty eight June of the year 2006 .","-1 -1 -1 0 0 2 5 -1 -1 3 -1"
"day[1 6], month[1], year[2015]","The date is January sixteen , 2015 .","-1 -1 -1 2 0 4 3 -1"
"day[2 2], month[2], year[2007]","Today is February twenty two in the year 2007 .","-1 -1 2 0 0 6 -1 -1 3 -1"
"day[3 0], month[4], year[2004]","It is April the thirtieth , 2004 .","-1 -1 2 -1 1 4 3 -1"
"day[0 5], month[11], year[2016]","The date is November five in the year 2016 .","-1 -1 -1 2 0 6 -1 -1 3 -1"
